Fiscal year,Funding Round,Organization,Category,Project Name,Amount Awarded by Program,Area
2023-2024,LCC R5,Municipality of the District of Argyle,Clean Transportation,Electric Vehicles & Charging Stations Project,56250,South Shore
2023-2024,LCC R5,Pictou Landing First Nation,Clean Transportation,Marine Electrification Feasibility Study,75000,highland
2023-2024,LCC R5,Municipality of the County of Cumberland,Clean Buildings,Cumberland Community Energy and Emissions Plan,75000,Fundy
2023-2024,LCC R5,Affordable Housing Association of Nova Scotia,Clean Buildings,Yarmouth Net Zero Affordable Housing Building Plan,75000,Central
2023-2024,LCC R5,Nova Scotia Community College,Clean Buildings,Strategic Planning for Energy Sustainability at Akoma,50640,Central
2023-2024,LCC R5,Christ Church Corporation,Clean Buildings,Christ Church Redevelopment,75000,Central
2023-2024,LCC R5,Bear River First Nation,Clean Buildings,Bear River First Nation Community GHG Reduction,75000,Valley
2023-2024,LCC R5,Ecology Action Centre,Clean Buildings,Energy Audits for Faith Buildings,75000,Provincial
2023-2024,LCC R5,TorchLight Bioresources,Clean Buildings,New Glasgow District Heating Community Participation,50000,Highland
2023-2024,LCC R5,Plymouth Community & Recreation Association,Clean Buildings,Pictou County NET Zero Community Buildings Project,56900,highland
2023-2024,LCC R5,Valley Community Learning Association,Clean Buildings,Net Zero Transformation - Energy and Facility Condition Assessment,8250,Valley
2023-2024,LCC R5,Summer Street Industries Society,Clean Buildings,"Energy Audit, System Design & Retrofit Plan",26250,Highland
2023-2024,LCC R5,Town of Truro (GHG Plan),Clean Buildings,Town of Truro - GHG Emission Study and Local Action Plan,75000,Fundy
2023-2024,LCC R5,Town of Pictou,Clean Buildings,Sustainable Energy for Pictou Fisheries Pool,18750,highland
2023-2024,LCC R5,Hope Blooms Youth Social Entrepreneurial Ventures Inc,Clean Energy Education,Clean Energy Training for Hope Blooms Youth,48750,Central
2023-2024,LCC R5,Climate Focus,Clean Energy Education,Climate Story Network,50000,Provincial
2023-2024,LCC R5,Native Council of Nova Scotia,Clean Energy Education,Native Council of Nova Scotia Green Energy Project – Phase 1,50000,Provincial
2023-2024,LCC R5,One North End Community Economic Development Society,Clean Energy Education,Climate Crisis Challenge involving EveryONE,37500,Central
2023-2024,LCC R5,Nova Scotia Federation of Municipalities,Clean Energy Education,Planning for Low Carbon Communities: What do Municipalities Need to Know?,44000,Provincial
